index_sort,page,block,line,x0,y0,x2,y2,Text,space_type,confidence
218,0,21,0,86,368,88,377,1,5,0.3100000023841858
219,0,22,0,150,369,153,377,2,5,0.9900000095367432
220,0,23,0,394,369,397,377,5,5,0.8999999761581421
221,0,24,0,469,369,473,377,0,5,0.23999999463558197
222,0,25,0,638,368,641,376,8,5,0.9900000095367432
223,0,26,0,707,369,711,377,9,5,0.9900000095367432
224,0,27,0,827,368,834,376,11,5,0.3399999886751175
225,0,28,0,891,368,899,377,12,5,0.6400000154972076
226,0,29,0,92,406,96,416,1,5,0.9900000095367432
227,0,30,0,448,400,493,415,360000,5,0.9900000095367432
228,0,31,0,527,400,564,415,72000,5,0.9900000095367432
229,0,32,0,618,400,655,416,24000,5,0.9900000095367432
230,0,33,0,687,402,731,414,456000,1,0.9916666746139526
231,0,33,0,745,402,781,414,16000,5,0.9559999942779541
232,0,34,0,811,402,840,414,5500,5,0.9900000095367432
233,0,35,0,237,368,240,378,3,5,0.9900000095367432
234,0,35,1,319,369,322,379,4,3,0.8899999856948853
235,0,35,2,123,393,154,406,ABC,5,0.9900000095367432
236,0,35,3,197,386,233,401,TAN,1,0.9900000095367432
237,0,35,3,239,386,295,401,Number,3,0.9900000095367432
238,0,35,4,200,407,216,421,Of,5,0.7849999964237213
239,0,35,5,287,407,324,421,PAN,1,0.9900000095367432
240,0,35,5,330,407,386,421,Number,3,0.9200000067551931
241,0,35,6,125,417,191,434,Company,3,0.9957142898014614
242,0,35,7,124,437,147,453,Ltd,3,0.9933333396911621
243,0,35,8,195,427,268,449,Employer,1,0.9962500035762787
244,0,35,8,285,426,308,446,of,5,0.6600000113248825
245,0,35,9,385,432,392,447,3,1,0.9900000095367432
246,0,35,9,397,432,418,449,yrs,3,0.9900000095367432
247,0,35,10,118,457,198,474,Hyderabad,5,0.995555559794108
248,0,35,11,292,448,357,468,Employer,5,0.9950000047683716
249,0,36,0,810,526,877,543,Employee,1,0.9975000023841858
250,0,36,0,882,526,947,543,Signature,5,0.996666669845581
251,0,37,0,815,557,868,576,Signature,1,0.9944444497426351
252,0,37,0,873,557,885,576,of,1,0.9950000047683716
253,0,37,0,889,557,904,576,the,1,0.9933333396911621
254,0,37,0,910,557,964,576,employee,5,0.9962500035762787
